game_key,Project Name,Env Created,Engagement Type,Engagement Area Position X,Engagement Area Position Y,Engagement Area Size X,Engagement Area Size Y,Perceived Engagement Area Position X,Perceived Engagement Area Position Y,Perceived Engagement Area Size X,Perceived Engagement Area Size Y,Triggerzone Position X,Triggerzone Position Y,Triggerzone Size X,Triggerzone Size Y,Clickthrough,Clickthrough Area Position X,Clickthrough Area Position Y,Clickthrough Area Size X,Clickthrough Area Size Y,Perceived Clickthrough Area Position X,Perceived Clickthrough Area Position Y,Perceived Clickthrough Area Size X,Perceived Clickthrough Area Size Y,Adunit Size X,Adunit Size Y,Count,engagement,click_through
feed1ac79a8ef3713285408af3856d9e/ede842041b5506d7b0c7,Pizza Hut Deal Jacker MPU,staging,"click,drag,collide",4.0,25.0,587.0,469.0,,,,,670.0,0.0,600.0,500.0,True,0.0,0.0,600.0,500.0,0.0,0.0,600.0,500.0,600.0,500.0,"209,871","40,473","1,465"
fff764240f13f8c78bbfc7fcfe9bc087/5f60f06d9c107f9b77e3,Qantas Sydneyporeans Creative 2,staging,"drag,collide,click",0.0,0.0,600.0,900.0,,,,,-820.0,0.0,600.0,900.0,True,0.0,536.0,600.0,364.0,162.0,721.0,281.0,66.0,600.0,900.0,,,
3a3a5dfc665638520b8d125a69470c61/bfd4e7d6b93778db5a3e,adunit-simple-boost-bio,testing,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b8b933869090cc71c8848428a8bd786,ALI,development,,,,,,,,,,,,,,,,,,,,,,,,,,,
3da8b420e605bec3bc211a2b804db907,CREATE ME,development,,,,,,,,,,,,,,,,,,,,,,,,,,,
50b94641c7bc95710fd9a34db0c3ccfb/bbc0e25c4a70f66a62be,planet earth tap,staging,"click,tap",48.0,672.0,342.0,155.0,,,,,,,,,True,203.0,357.0,194.0,20.0,203.0,357.0,194.0,20.0,600.0,900.0,,,
6633010007e83807bcf048d04a5cca04/0dc1845be797293ff6bc,adunit-max-factor-mpu,staging,,,,,,,,,,,,,,,,,,,,,,,,,,,
78d10aa3b467fabdb40022319264bdaf/81571b63a449d83d64b3,MAGNUM,development,"click,drag,dropInside",65.0,190.0,210.0,50.0,,,,,0.0,0.0,340.0,250.0,True,0.0,0.0,210.0,50.0,65.0,190.0,210.0,50.0,340.0,250.0,,,
792f07650f7e01aee1768c233f2d0df3/91c0d3a1315f0a627255,UK_COTY_David Beckham_Made of Instinct_Programmatic_970x250_Desktop_MarApr17,staging,,,,,,,,,,,,,,,,,,,,,,,,,,,
7dfc28a8683745b0474c0fe627d9d880/95499c9bb9298059a9fa,BIGGGG,development,,,,,,,,,,,,,,,,,,,,,,,,,,,
965c3b39f939898b68895dfd0d0b21ab,,,"tap-and-hold,click",0.0,0.0,600.0,900.0,,,,,,,,,True,0.0,0.0,476.0,99.0,62.0,744.0,476.0,99.0,600.0,900.0,,,
9e0ab64944b35a27f1e302b5c538f66f,test,testing,,,,,,,,,,,,,,,,,,,,,,,,,,,
a8b8cbe3a7a4942bcf1062efc63eefda/ce88522e84152e12300d,planet earth tilt,testing,"parallax-bird,parallax-plant,tilt",298.0,278.0,381.0,228.0,,,,,,,,,,,,,,,,,,600.0,900.0,,,
bed2f21422a35d66f1d66548fad55151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cc0c3d8b2c339f54d5cd3cf208628d13/8d361c07ba4d2a777d07,adunit-xbox-x-BIO,testing,,,,,,,,,,,,,,,,,,,,,,,,,,,
d18d5a33b1bed0d50e7cc4ab1e3f51c6/33d2c35a3ff766c4505b,Penguins Video,testing,tap-and-hold,0.0,0.0,600.0,900.0,,,,,,,,,,,,,,,,,,600.0,900.0,,,
d72e92ef26eb9bc82746b01568815ffe/934b7a8f4c68f7c322c8,Which Bingo,staging,shake,,,,,,,,,,,,,,,,,,,,,,600.0,900.0,,,
